timestamp,username,source_ip,host,event_type,status
2026-03-20T08:00:00,adi,10.0.0.5,host1,login,success
2026-03-20T08:10:00,dana,10.0.0.8,host2,login,success
2026-03-20T09:00:00,adi,185.24.10.8,host1,login,failure
2026-03-20T09:00:10,adi,185.24.10.8,host1,login,failure
2026-03-20T09:00:20,adi,185.24.10.8,host1,login,failure
2026-03-20T09:00:30,adi,185.24.10.8,host1,login,failure
2026-03-20T09:00:40,adi,185.24.10.8,host1,login,failure
2026-03-20T09:00:50,adi,185.24.10.8,host1,login,failure
2026-03-20T09:01:00,adi,185.24.10.8,host1,login,failure
2026-03-20T09:01:10,adi,185.24.10.8,host1,login,failure
2026-03-20T09:01:20,adi,185.24.10.8,host1,login,failure
2026-03-20T09:01:30,adi,185.24.10.8,host1,login,failure
2026-03-20T09:02:00,adi,185.24.10.8,host1,login,success
2026-03-20T10:00:00,ron,10.0.0.9,host3,login,success
